"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Hayes, Ke'Bryan",663647,2024,149,16.1,10.1,0.291,0.291,26.9,1.9,38.9,99.17889463,93.697744019,16.1,43.4
"Acuña Jr., Ronald",660670,2024,189,24.9,13.2,0.319,0.352,30.7,8.8,50,103.951069286,96.573339196,29.7,47.2
"Cronenworth, Jake",630105,2024,195,16.9,8.7,0.361,0.366,35.7,10.7,40.7,100.616711159,94.579149638,17.6,47.5
"McNeil, Jeff",643446,2024,179,11.7,8.9,0.285,0.292,35,0.7,26.4,95.638721739,91.847721095,13.3,51.5
"Bell, Josh",605137,2024,202,18.3,8.9,0.306,0.314,28.2,7,40.8,100.191436056,94.27640773,27.7,48.6
"Marte, Ketel",606466,2024,206,20.4,7.3,0.367,0.359,35.1,10.8,52.7,103.507864865,96.568785578,23.1,52.3
"Stanton, Giancarlo",519317,2024,166,32.5,6.6,0.354,0.347,32.7,20.8,53.5,107.848461961,98.878627228,33.1,47.8
"Perez, Salvador",521692,2024,184,15.8,7.6,0.409,0.414,41.6,16.1,52.6,103.035070435,96.350840438,23.4,58.5
"Rutschman, Adley",668939,2024,189,18,4.8,0.366,0.356,41.4,9,46.9,99.906900548,94.496104414,20.3,47.2
"Arenado, Nolan",571448,2024,193,16.1,7.3,0.316,0.303,37.7,2.1,29.5,96.733980548,92.366990274,20.4,43.7
"Hernández, Teoscar",606192,2024,205,30.2,7.8,0.341,0.334,32,13.6,51.2,102.7508,96.00800264,33.3,52.6
"Reynolds, Bryan",668804,2024,214,19.2,11.7,0.332,0.361,35.1,8.8,43.2,100.400056081,94.453170541,29.6,44.6
"Ward, Taylor",621493,2024,198,21.2,6.6,0.349,0.390,46.2,14.7,43.4,100.592667606,94.692948239,20.1,45.9
"Blackmon, Charlie",453568,2024,152,11.8,8.6,0.289,0.300,30,5.8,27.5,95.676584167,91.923695546,17.6,51.3
"Riley, Austin",663586,2024,163,23.9,8.6,0.315,0.337,31.5,12,50,103.122737037,95.978412778,28.8,49.9
"Volpe, Anthony",683011,2024,213,22.5,8.9,0.341,0.311,37.1,5.6,38.5,98.803548986,93.563739197,21.4,45.9
"Marsh, Brandon",669016,2024,155,29,9,0.319,0.351,44.8,8.3,54.2,101.937231667,95.869024271,25.1,40.9
"Julien, Edouard",666397,2024,165,33.9,12.7,0.320,0.302,34.5,12.6,42.5,100.052326364,94.208375747,31.9,37.2
"Mountcastle, Ryan",663624,2024,171,22.8,5.8,0.325,0.333,34.4,9,45.1,101.743736721,95.149777851,23.1,54.4
"Seager, Corey",608369,2024,195,15.9,11.8,0.311,0.380,36.4,12.9,42.9,101.621053571,94.923037429,22.7,52.1
"Bellinger, Cody",641355,2024,150,15.3,10,0.352,0.332,38.7,9,33.3,98.475621071,93.498726036,25.5,52
"Melendez Jr., MJ",669004,2024,147,26.5,6.8,0.259,0.301,30.6,10.2,41.8,100.981502245,94.723574796,29.5,50.3
"Joe, Connor",656582,2024,160,18.8,9.4,0.362,0.303,32.5,7.9,35.1,98.41870386,93.20935193,22,42.6
"O'Neill, Tyler",641933,2024,157,30.6,14,0.397,0.371,36.5,18.8,47.1,102.420553023,95.628746118,31.7,41.1
"Devers, Rafael",646240,2024,159,23.9,12.6,0.404,0.384,30.3,15.2,53.5,103.9994138,96.931724141,26.1,50.9
"Soto, Juan",665742,2024,219,14.2,14.6,0.416,0.460,34.2,19.4,60,106.230466494,98.622746883,20.5,38.1
"Adames, Willy",642715,2024,202,19.8,9.9,0.325,0.350,36.2,10.6,42.6,99.648574085,94.379540922,27,46.5
"Baty, Brett",683146,2024,146,24,8.2,0.286,0.270,27.6,5.1,30.6,98.130962292,93.10633125,24.8,50.8
"Benson, Will",666181,2024,172,39,11,0.300,0.296,38.8,12.9,48.2,100.688596047,94.883589765,36.3,47.2
"Jeffers, Ryan",680777,2024,160,21.9,6.3,0.394,0.357,34.9,12.3,34,99.661031698,93.844655472,25.5,45.8
"Walker, Christian",572233,2024,202,22.8,13.4,0.351,0.381,34.9,15.9,46,102.984392698,95.636358254,26.9,46.9
"France, Ty",664034,2024,165,23,5.5,0.287,0.305,37.1,6.9,44,100.327076724,94.476190862,22.6,49.4
"Nimmo, Brandon",607043,2024,193,19.7,15,0.351,0.423,40.3,14.3,50.4,102.3256335,95.857130756,21.8,41.2
"Garver, Mitch",641598,2024,152,33.6,11.2,0.276,0.269,38.3,6.2,35.8,98.811533659,93.572959012,32.7,40.3
"Gorman, Nolan",669357,2024,158,35.4,11.4,0.302,0.329,46.4,14.3,36.9,99.418487857,93.709243929,40.9,50.1
